Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
49,11.47392234,23.0831,6.33884,7.81522,20.0122,17.3181,2.93396,4.17834,-0.398603,-3.25345,717.854,993.447
50,11.52878014,22.9712,6.35681,7.57533,19.1765,16.8162,2.84967,4.04535,-0.399031,-3.62035,705.649,995.592
51,11.55002613,22.7283,6.37937,7.29876,18.2931,16.3449,2.75155,3.90202,-0.409236,-4.00407,693.419,997.979
52,11.54941773,22.3409,6.40016,6.99904,17.383,15.8879,2.6162,3.75014,-0.429239,-4.40339,681.161,1000.59
53,11.49811038,21.795,6.41135,6.69065,16.4687,15.4271,2.41823,3.59159,-0.458475,-4.81655,668.872,1003.41
54,11.40160582,21.0776,6.40448,6.3876,15.5723,14.9455,2.13332,3.42843,-0.495796,-5.24126,656.547,1006.42
55,13.52468593,23.5432,1.8794,5.36022,37.5728,-1.88459,7.80293,-3.6746,-6.78636,-3.49383,793.406,948.931
56,13.79892134,23.9783,1.84569,4.52777,37.0907,-1.91395,7.8815,-4.07152,-6.41796,-3.79608,775.161,950.38
57,13.97460773,24.2227,1.80598,3.66036,36.4341,-1.86133,7.81841,-4.4619,-6.00975,-4.07318,756.821,952.286
58,14.02436431,24.2543,1.7598,2.77406,35.6152,-1.73902,7.61851,-4.8379,-5.56656,-4.32773,738.38,954.636
59,13.96060478,24.0497,1.70594,1.88454,34.6466,-1.56276,7.28741,-5.19249,-5.09284,-4.56174,719.83,957.411
60,13.75074345,23.5854,1.64246,1.00708,33.5418,-1.3507,6.83161,-5.51951,-4.59276,-4.77664,701.164,960.586
61,14.03758325,33.516,1.45313,6.23281,52.3754,2.33674,4.50744,-2.84759,0.867003,0.522735,668.332,909.368
62,14.2329564,33.816,1.36592,5.66927,51.019,1.48031,4.18499,-3.54165,0.400089,-0.735829,646.997,911.783
63,14.33407044,33.9074,1.26421,4.94817,49.4623,0.756045,3.69769,-4.26416,0.0139601,-1.9756,625.606,914.683
64,14.32658761,33.7636,1.14828,4.08173,47.7165,0.182524,3.03472,-5.00621,-0.284113,-3.20304,604.162,918.041
65,14.20175923,33.3565,1.01783,3.087,45.7983,-0.233559,2.18722,-5.75873,-0.490625,-4.42556,582.66,921.825
66,13.94517385,32.6563,0.871874,1.98517,43.7291,-0.496882,1.15013,-6.51229,-0.605736,-5.65058,561.092,926
67,14.91101483,23.503,5.72483,7.41727,30.7625,5.9669,3.30619,2.26304,-3.65457,-2.32327,766.155,985.372
68,15.10208108,23.6735,5.62807,7.01749,30.3064,5.58534,3.55291,1.97997,-3.62952,-2.8518,749.947,986.165
69,15.1634561,23.6606,5.51616,6.55064,29.667,5.26895,3.65524,1.6654,-3.60074,-3.38774,733.721,987.419
70,15.10650574,23.458,5.38938,6.02482,28.8579,5.00747,3.61366,1.32229,-3.56769,-3.92954,717.469,989.12
71,14.92218266,23.0579,5.24766,5.44898,27.8939,4.7865,3.43126,0.953906,-3.52953,-4.47469,701.177,991.247
72,14.60570893,22.451,5.09054,4.83258,26.79,4.58948,3.11341,0.563805,-3.48517,-5.01971,684.836,993.771
73,19.36031637,26.0556,3.19429,9.63691,36.6571,16.4192,-3.65268,-1.69973,-7.27517,-6.99626,849.403,944.988
74,19.80750832,26.5573,3.20599,9.21484,35.7673,15.9892,-3.88837,-1.9875,-7.1196,-7.2524,831.511,946.283
75,20.08172273,26.7639,3.20969,8.72509,34.5818,15.4817,-4.39664,-2.28404,-6.88185,-7.45091,813.549,948.223
76,20.13693972,26.646,3.20507,8.17887,33.1354,14.9037,-5.17201,-2.58667,-6.56983,-7.59775,795.509,950.772
77,19.91961889,26.1766,3.19136,7.58782,31.4669,14.2595,-6.20182,-2.89236,-6.1933,-7.69945,777.388,953.884
78,19.48350462,25.3318,3.16722,6.96335,29.6164,13.5525,-7.46688,-3.19795,-5.76327,-7.76294,759.181,957.505
79,12.36309529,30.6886,0.762119,3.32759,45.2893,11.2333,4.42781,-2.43053,-7.54629,-6.97293,753.797,931.271
80,12.69274386,31.0585,0.709274,2.67406,43.9909,10.8219,3.97959,-2.95774,-7.68239,-7.56436,734.649,933.361
81,12.89181328,31.2091,0.65131,1.98563,42.512,10.423,3.34496,-3.49125,-7.77864,-8.1187,715.417,935.87
82,12.94582683,31.1154,0.586078,1.26434,40.874,10.0356,2.51633,-4.02724,-7.83193,-8.63325,696.094,938.773
83,12.88315157,30.7525,0.51091,0.513338,39.1019,9.65921,1.48829,-4.56162,-7.84027,-9.10676,676.676,942.043
84,12.65180222,30.0958,0.422968,-0.26261,37.2239,9.29478,0.260145,-5.08984,-7.80305,-9.53948,657.157,945.645
85,15.33443359,20.6619,-0.453411,1.19907,26.7138,-1.42246,13.3608,0.384035,-3.19148,-8.80154,789.242,988.517
86,15.53412545,20.8211,-0.567977,1.02197,26.0898,-1.62829,13.4166,0.151276,-3.31858,-9.59729,771.153,989.398
87,15.62599609,20.6988,-0.69167,0.801156,25.2722,-1.67884,13.2197,-0.118797,-3.41761,-10.3626,752.996,990.747
88,15.58229687,20.2791,-0.820817,0.541335,24.2891,-1.57562,12.7627,-0.420381,-3.4835,-11.093,734.772,992.533
89,15.41314557,19.5441,-0.951419,0.248479,23.1686,-1.32825,12.0457,-0.746911,-3.51204,-11.785,716.479,994.721
90,15.08830382,18.4759,-1.07932,-0.070458,21.9378,-0.954219,11.0788,-1.09134,-3.50019,-12.4353,698.117,997.27
91,10.70467061,31.6635,6.32598,3.97388,42.4274,19.3675,10.9774,-4.55099,-10.1332,1.39701,740.576,1046.89
92,10.78681262,31.7279,6.34038,3.5227,41.5672,18.9432,11.1314,-4.75426,-10.1301,0.73364,723.495,1047.91
93,10.83892054,31.6353,6.33748,3.05997,40.6474,18.4231,11.1818,-4.94998,-10.0733,0.0974052,706.319,1049.4
94,10.85410139,31.3698,6.31386,2.60205,39.6796,17.8152,11.1047,-5.13238,-9.96251,-0.510876,689.038,1051.33
95,10.82684038,30.9169,6.26729,2.16175,38.668,17.1334,10.8788,-5.29689,-9.79866,-1.09014,671.646,1053.68
96,10.74638857,30.2637,6.19681,1.74809,37.6106,16.3957,10.4869,-5.44027,-9.58316,-1.63908,654.141,1056.43
97,9.69611551,23.3994,1.1595,10.4463,37.8026,0.297979,-8.53357,0.13946,-15.804,-11.3363,564.365,993.158
98,9.911527503,23.5727,1.08012,9.78906,36.9858,0.15773,-8.98782,-0.188037,-15.6073,-11.6697,546.24,994.615
99,10.01453745,23.5669,0.989894,9.04916,36.0942,0.0217227,-9.41532,-0.542574,-15.3874,-12.0001,528.014,996.427
100,10.00212539,23.364,0.886804,8.23335,35.1307,-0.105139,-9.82677,-0.920156,-15.1482,-12.3283,509.686,998.574
101,9.863435765,22.9469,0.768087,7.34904,34.0969,-0.219177,-10.2389,-1.31644,-14.8929,-12.6545,491.254,1001.03
102,9.585023391,22.2999,0.630685,6.40435,32.9937,-0.317621,-10.6709,-1.72665,-14.6241,-12.9779,472.718,1003.77
103,14.86802319,28.2182,1.46684,4.83849,36.5115,6.35849,13.6578,3.96142,1.45694,-9.36568,898.099,937.336
104,15.12121752,28.4041,1.3825,4.52687,34.9748,6.12105,12.9341,3.64087,2.10583,-9.66385,880.669,938.08
